species;mode_pca1;mode_pca2;max_dens;centroid_pca1;centroid_pca2;niche_area_suit;niche_area_a
Acer granatense;0.024530391;0.847259889;0.149583121;-0.00260335;0.864376325;25.66625749;27.1404
Acer monspessulanum;-1.502491204;-0.482769479;0.112419464;-1.534067929;-0.443404507;46.076775;48.4556
Adenocarpus decorticans;0.129475453;2.069234019;0.144719567;0.163479582;2.082917198;27.22175136;28.7616
Alyssum serpyllifolium;1.152143846;1.975412323;0.152446774;1.188608415;1.971749517;48.0913207;51.1012
Amelanchier ovalis;-1.952565301;0.709794647;0.069810309;-1.909165489;0.745670485;55.68509351;57.8892
Anthyllis tejedensis;0.969793857;0.757557755;0.155379996;0.987474302;0.725233403;22.68759744;23.9496
Arbutus unedo;-1.35629717;0.46631266;0.064620684;-1.377900972;0.456343907;45.9363459;48.3816
Arenaria armerina;-0.284848952;1.454193925;0.160158642;-0.262174976;1.473974066;22.24400863;24.0384
Argyrolobium zanonii;-1.132688711;-0.171802944;0.061604734;-1.020700156;-0.106770473;36.87877324;38.3044
Artemisia barrelieri;3.216145665;0.905779332;0.234388522;3.239658494;0.920278718;12.6490179;13.5776
Artemisia campestris;-2.337088951;1.364482145;0.122622491;-2.335253248;1.285479312;109.4459855;121.5792
Artemisia campestris glutinosa;1.145888879;1.797776507;0.129753385;1.158061202;1.821010919;26.85218546;27.9956
Asparagus horridus;2.797329099;-0.689681782;0.139270172;2.817005409;-0.645278245;24.94712384;27.004
Berberis hispanica;-0.659951219;1.828655302;0.212736729;-0.629508709;1.815301408;19.99685138;21.3688
Bupleurum gibraltaricum;2.547826836;0.98064431;0.179336143;2.497626174;1.006413264;19.19778675;19.9412
Bupleurum spinosum;0.695448669;1.745545253;0.203154462;0.690235777;1.759756508;20.37464653;21.5336
Celtis australis;-1.1930081;0.604362075;0.104344833;-1.213085302;0.550667554;43.13629913;44.952
Chamaerops humilis;3.521820552;-2.104984003;0.081534026;3.330839022;-1.868800618;35.78886051;38.0748
Cistus albidus;2.528327135;1.129094504;0.105696259;2.505466931;1.150790677;28.09043715;29.2392
Cistus clusii;1.870730495;1.665570978;0.177914714;1.83994143;1.686290729;19.61952737;20.5352
Cistus crispus;3.587772247;-2.263641118;0.140244813;3.206718153;-1.765681607;24.55938903;25.5056
Cistus libanotis;3.579776364;-2.42920936;1.241502433;3.576935962;-2.44773708;4.982715804;5.6592
Cistus monspeliensis;2.996170629;-1.642151215;0.081510066;2.892171478;-1.506980667;35.87673688;37.5972
Cistus populifolius;2.334236943;1.03058386;0.082715211;2.374968296;0.967760418;31.02149529;32.4608
Cistus salviifolius;2.482158676;-0.698547465;0.064329515;2.479207386;-0.70064894;42.52782924;44.738
Clematis flammula;0.59652714;-0.539151148;0.08217932;0.646177238;-0.542545564;37.32639255;38.9536
Colutea hispanica;2.279213278;0.841935498;0.136995194;2.290888562;0.850074583;20.39239592;21.122
Coris monspeliensis;1.351832899;1.07043325;0.072053998;1.343067691;1.069427505;32.60540056;33.906
Coronilla juncea;2.58708102;0.608802199;0.103599059;2.570465077;0.527745485;22.2746058;23.3312
Cotoneaster granatensis;0.145283723;1.657232394;0.153993972;0.239463838;1.627701642;18.00521458;19.1868
Crataegus laciniata;-0.057913734;1.296649615;0.092165575;0.004779033;1.295914506;46.53390588;49.7016
Crataegus monogyna;-1.765693256;0.402203533;0.109733585;-1.966772615;0.263483694;69.55110649;73.9216
Cytisus galianoi;-1.518307196;2.235837414;0.551716396;-1.528025014;2.244343922;4.751480912;5.0672
Cytisus grandiflorus;3.62025508;-2.387323807;0.387335436;3.599525157;-2.369548339;31.55327982;33.3596
Cytisus scoparius;-2.42396188;-0.040094534;0.137746966;-2.375594372;0.039944293;56.78117673;60.5156
Daphne gnidium;2.379072215;0.851487276;0.076128849;2.403345048;0.901816405;36.07641741;37.712
Daphne laureola;-1.531981513;0.541330652;0.26116577;-1.613454307;0.530463504;44.03591849;47.8384
Dianthus brachyanthus;-0.163771577;1.860333081;0.130497217;-0.083611667;1.868531169;22.7931068;23.94
Dorycnium pentaphyllum;0.827076508;1.842079073;0.098876581;0.810751098;1.852784312;39.34566163;41.0564
Echinospartum boissieri;0.825058566;1.257538365;0.202382715;0.851394296;1.274415809;10.85726656;11.3116
Erica scoparia;-1.429291457;0.047257792;0.367193943;-1.42890246;0.074370111;31.32736728;34.1896
Erinacea anthyllis;0.398461337;1.349144512;0.17835103;0.200162506;1.35109412;16.92980999;17.7524
Fraxinus angustifolia;-1.388026158;0.29889534;0.115478849;-1.403861872;0.343716071;47.80510979;49.9172
Fumana ericoides;1.842470343;1.557243719;0.067881399;1.763155336;1.619939741;40.95080397;42.6896
Fumana laevipes;2.574844305;-0.582266884;0.139652444;2.555225511;-0.597454471;25.10301966;26.1652
Fumana procumbens;-1.623823409;0.521760019;0.171540923;-1.634903047;0.473774002;38.71011145;40.3268
Fumana thymifolia;1.866118795;1.724098464;0.085216062;1.90952018;1.714974801;39.50896341;41.2636
Genista cinerea;-1.773592453;0.919684346;0.077553828;-1.776771801;0.86895797;38.57836536;40.4292
Genista scorpius;1.1459738;1.994132757;0.136763115;1.042758712;1.968980734;33.10827976;34.8292
Genista umbellata;3.232227947;0.033447926;0.121225563;3.257304549;0.031745985;15.58156486;16.2964
Genista versicolor;-0.545923271;1.874527363;0.214236656;-0.339352785;1.92443476;10.81514955;11.3632
Halimium atriplicifolium;1.852099559;1.220913849;0.131942499;1.887249378;1.245648554;26.47917388;27.4612
Halimium calycinum;3.639339775;-2.420096411;0.774851263;3.61616692;-2.424074373;12.20552571;13.2636
Halimium commutatum;3.58474847;-2.543127794;3.451618337;3.585175936;-2.536814829;1.836926188;2.1324
Halimium halimifolium;3.660892671;-2.209790329;0.247839564;3.632492569;-2.202859682;29.39635297;30.9068
Helianthemum almeriense;4.301049314;0.176030899;0.30886708;4.316786794;0.163180547;9.159316521;9.7536
Helianthemum apenninum;-1.527211599;0.538054939;0.146733632;-1.513665895;0.524087673;50.90363806;53.0772
Helianthemum cinereum;1.378956043;2.047889901;0.158445321;1.319180043;2.054126393;32.83600464;34.62
Helianthemum syriacum;2.784328254;-0.556965447;0.125278192;2.64839933;-0.169017024;20.52882373;21.3416
Helichrysum italicum;1.366387892;1.712518318;0.070774037;1.304317144;1.655682302;45.86554091;47.8172
Helichrysum picardii;3.648865137;-2.455489678;1.820801157;3.64227054;-2.503941515;4.723732632;5.6864
Ilex aquifolium;-2.36615844;0.013378098;0.178173819;-2.337685829;0.055001696;53.68294296;57.5288
Juniperus communis;-4.666718448;6.024301916;0.077114098;-4.687281403;6.009346569;138.0752979;148.1832
Juniperus oxycedrus;1.305190537;2.010979575;0.107861465;1.265814991;1.978745639;36.00078381;37.6276
Juniperus phoenicea;1.087884683;1.883231985;0.106286957;1.081626592;1.916337739;46.06633413;48.7904
Launaea arborescens;5.389211289;-4.307338809;0.250018639;5.349042759;-4.290331714;31.29453584;34.4748
Lavandula dentata;2.844619288;-2.553659105;0.096245904;2.833474953;-2.597582524;39.22696192;41.5528
Lavandula lanata;1.279061938;1.945879219;0.14206079;1.262390986;1.95106634;22.01374314;23.0856
Lavandula latifolia;0.849468469;1.964068466;0.161268535;0.400639887;1.888361226;28.02790882;29.2872
Lavandula stoechas;0.836099001;1.898421958;0.073048847;1.046660457;1.657193394;37.13383125;39.0308
Ligustrum vulgare;-1.655301897;0.467419561;0.216314015;-1.676257112;0.495453823;40.61894739;43.7076
Linum narbonense;0.763792601;1.633973085;0.083942426;0.760500515;1.616512322;38.14104747;39.7044
Linum suffruticosum;1.279943854;1.875647103;0.129876355;1.301749366;1.909036229;36.01198285;37.6132
Lithodora fruticosa;0.679215349;1.553479424;0.099866561;1.035800047;1.369733396;31.98132631;33.2904
Lonicera implexa;0.777011162;-0.632831744;0.065022426;0.891776657;-0.520230648;33.77695568;35.1824
Malus sylvestris;-2.409522061;0.947050109;0.137112166;-2.458151464;0.803639732;49.15257331;52.9908
Olea europaea;-1.407726016;0.525047674;0.095358386;-1.41326153;0.523025582;45.78820611;48.7876
Ononis pusilla;-1.594898787;0.484233748;0.194012217;-1.584456817;0.483275319;43.59130782;45.6768
Paronychia aretioides;1.560009251;2.087278113;0.186930824;1.602951618;2.060620382;20.31274613;21.1324
Paronychia suffruticosa;2.644077973;0.947627908;0.103280395;2.645258612;0.945122099;22.64977379;23.526
Periploca angustifolia;4.306777575;-0.14614338;0.357312988;4.320482233;-0.162581333;14.95831157;16.2152
Phagnalon rupestre;2.781020127;-0.778301214;0.07464222;2.776963932;-0.732522828;37.28235639;38.956
Phagnalon saxatile;2.870403335;0.845963873;0.078372159;2.816305368;0.707235548;42.2118858;44.3924
Phillyrea angustifolia;2.214780028;0.954713147;0.072127795;2.22834001;0.986697011;34.53867729;36.262
Phillyrea latifolia;0.312532797;-0.359769496;0.057449821;0.317212874;-0.368658689;49.43264004;51.46
Phlomis lychnitis;1.79056349;1.395917348;0.145105514;1.803489244;1.432302397;24.18474265;25.158
Phlomis purpurea;3.229500596;0.644150111;0.141932124;3.086002431;0.661319446;19.05424906;20.07
Pinus halepensis;1.697248286;1.226513377;0.107304043;1.772966137;1.357965406;28.24570265;29.4472
Pinus nigra;-0.154511837;1.88585967;0.15577946;-0.137213504;1.848198469;32.22725032;34.1348
Pinus pinaster;0.922224992;1.908382768;0.098717255;0.9639488;1.957660269;46.70366639;49.3608
Pinus pinea;3.613390356;-2.311155997;0.160965965;3.618594676;-2.322396286;29.52101766;31.0092
Pistacia lentiscus;2.598352006;1.261224503;0.098774822;2.621703835;1.267296663;29.89952728;31.4096
Pistacia terebinthus;2.287828082;1.018712889;0.056127338;2.091341294;1.035631994;47.78263589;50.038
Polygala rupestris;1.420100093;0.969254648;0.102262191;1.488244108;0.938489076;23.10859789;24.292
Prunus mahaleb;-1.574664828;0.667546739;0.414716831;-1.600679495;0.642790219;36.51881312;39.4104
Prunus spinosa;-2.298884147;1.017201083;0.129003642;-2.480101184;0.597372202;57.12618038;60.8096
Ptilostemon hispanicus;1.146960232;1.008788061;0.09981752;1.163922655;1.01982579;22.15911691;23.046
Quercus coccifera;1.52153015;2.07219617;0.090715983;1.483581745;2.029941332;34.23945911;35.8568
Quercus faginea;0.494750171;1.707671072;0.124016442;0.522524879;1.723417304;33.32143618;35.1452
Quercus ilex;-1.489186761;-0.412228997;0.097443968;-1.556009995;-0.437569237;47.68630689;50.0652
Quercus pyrenaica;-1.419859461;-0.086663595;0.141479106;-1.41981473;-0.171217754;39.35740485;41.1808
Quercus rotundifolia;2.706683197;1.301862296;0.121208563;2.732264092;1.283547636;30.10623804;31.596
Rhamnus alaternus;-0.962390081;-0.192912623;0.06658246;-0.970260639;-0.16484943;49.30374834;51.4124
Rhamnus lycioides;1.928767552;1.74949788;0.132664388;1.863643208;1.763941338;25.98870988;27.2212
Rhamnus myrtifolia;1.140466232;1.017883987;0.136616603;1.090637667;1.047207982;29.38191384;30.434
Rhamnus saxatilis;0.078767934;1.759979798;0.092564249;0.089928798;1.773130182;46.17432763;48.2808
Rosa canina;-2.295373986;1.030631924;0.126876566;-2.402128663;0.833902186;68.51038398;73.572
Ruscus aculeatus;-1.523442101;0.298900892;0.188901829;-1.5765285;0.301308926;52.5904941;55.6652
Ruta angustifolia;2.552005451;-0.631138653;0.062560374;2.316087671;-0.001380707;37.05431621;38.5928
Ruta montana;1.444454709;1.715167217;0.069318832;1.464948516;1.737252709;43.15604997;44.9088
Salvia lavandulifolia;0.665799994;1.810664962;0.244374056;0.663546891;1.793289091;17.16533078;18.078
Rosmarinus officinalis;1.494887424;2.00235949;0.117860215;1.510475488;2.029982619;35.82024276;37.5988
Santolina chamaecyparissus;0.9968216;1.847160976;0.078165193;1.021592748;1.822199077;43.47592392;45.6384
Satureja obovata;3.494767272;0.394236734;0.08892674;3.361286842;0.484734265;21.09081023;21.9288
Sideritis ibanyezii;3.96200625;0.16121585;0.421730534;3.926585704;0.199625966;3.719036818;3.8896
Sideritis incana;1.335430271;2.108586801;0.186952503;1.374057875;2.110518641;17.77912099;18.9152
Sorbus aria;-2.21562044;0.451773862;0.186690596;-2.250402175;0.435410829;49.29558342;52.5336
Sorbus torminalis;-1.696396529;0.474112318;0.404691453;-1.654125204;0.492505535;23.54161019;25.522
Staehelina dubia;-1.014133473;-0.209282079;0.09119562;-1.051908944;-0.218926814;37.06930209;38.5092
Stauracanthus genistoides;3.637579454;-2.427621693;0.855131445;3.603248916;-2.433723222;10.65288535;11.6384
Stipa tenacissima;2.027941395;1.851062382;0.147817966;2.075892616;1.811952181;20.44666506;21.5028
Teucrium capitatum;1.545269716;1.869570485;0.089658015;1.563089792;1.81522022;43.27527421;45.524
Teucrium carthaginense;3.959145545;-0.762232422;0.122617858;3.975285825;-0.708252827;17.35668788;18.0596
Teucrium compactum;-0.20062404;2.299676108;0.277541589;-0.175340437;2.293543803;9.132029299;9.6564
Teucrium fruticans;1.210686348;-0.994512094;0.066515798;0.749134964;-0.681788734;37.96539668;39.7376
Teucrium pseudochamaepitys;2.613890073;-0.40521;0.128320428;2.607718763;-0.209406751;18.73138565;19.5132
Teucrium similatum;0.685960999;0.886632922;0.063038752;0.669123039;0.912087378;29.67154278;30.6888
Teucrium webbianum;0.950452482;2.04216454;0.181673371;0.918603999;2.002520637;14.21328701;14.8192
Thymelaea hirsuta;2.950173541;-0.720267032;0.267720621;2.945814776;-0.754012088;20.67585131;22.5556
Thymelaea pubescens;0.280315992;1.726021998;0.209731933;0.329041471;1.71855946;22.7825386;23.9752
Thymelaea tartonraira;2.598585869;0.801012014;0.070461666;2.482245343;0.810162785;35.48514738;36.9364
Thymus baeticus;3.201288872;0.863358528;0.138489781;3.113876492;0.9002611;23.94973537;25.1164
Thymus granatensis;0.664617767;0.912359501;0.20997648;0.648942546;0.947525499;16.52657623;17.4644
Thymus hyemalis;4.11831401;0.307361799;0.486496825;4.147566131;0.27092562;6.477780804;6.9368
Thymus mastichina;2.438424444;1.43033643;0.143058909;2.415520476;1.430714478;26.33600312;27.5548
Thymus membranaceus;3.469571518;0.991696921;0.196905393;3.4501214;0.98732943;12.21289302;12.8156
Thymus zygis;2.175804002;1.846253538;0.206963421;2.068415395;1.86383238;18.91691386;20.538
Ulex australis;3.587633318;-2.311586158;0.223455877;3.571975019;-2.270901155;13.80535363;14.6932
Ulex parviflorus;1.438859605;1.014676119;0.121762307;1.620235348;1.110794103;24.62085879;25.8496
Vella spinosa;-0.081503527;1.751354185;0.097197363;-0.033988839;1.756869399;22.44968193;23.6476
Viburnum lantana;-1.663147234;0.546099055;0.181956573;-1.690219671;0.521425697;39.3015351;42.1808
Viburnum tinus;-1.492149614;0.494586052;0.152253399;-1.538949051;0.441050192;45.61617198;47.9316
