community;code;facil_only_sp;open_only_sp;facil_only_perc;open_only_perc;facil_only_nperc;open_only_nperc;net_sp_dif;net_perc_dif;abun_abs_change;abun_change;abun_increase;abun_decrease;abun_rel_change;abun_rel_abs_change;abun_rel_increase;abun_rel_decrease;mean_rate;increase_rate;decrease_rate
1;SNEV01;3;3;0.176470588235294;0.176470588235294;0.157894736842105;0.0352941176470588;0;0;135;131;133;2;1.77635683940025e-15;78.1441717791411;39.0720858895706;39.0720858895706;0.777096114519427;1.92229038854806;0.319018404907975
2;SNEV02;1;6;0.0625;0.375;0.102040816326531;0.0352112676056338;5;0.3125;77;75;76;1;-4.66293670342566e-15;61.0007639419404;30.5003819709702;30.5003819709702;2.27103341336535;14.4201680672269;0.535442748527983
3;SNEV03;1;6;0.0833333333333333;0.5;0.0833333333333333;0.00641025641025641;5;0.416666666666667;117;117;117;0;-5.32907051820075e-15;43.3238636363636;21.6619318181818;21.6619318181818;0.98828125;2.19140625;0.6875
4;SNEV04;1;1;0.0909090909090909;0.0909090909090909;0.0192307692307692;0.0144927536231884;0;0;18;14;16;2;-1.33226762955019e-15;26.2443438914027;13.1221719457014;13.1221719457014;1.12683379120879;1.67384615384615;0.798626373626374
5;SNEV05;1;1;0.142857142857143;0.142857142857143;0.2;0.103448275862069;0;0;20;16;18;2;-7.105427357601e-15;66.6666666666667;33.3333333333333;33.3333333333333;1.48571428571429;2.21428571428571;0.392857142857143
6;SNEV06;0;0;0;0;0;0;0;0;51;45;48;3;-6.21724893790088e-15;70;35;35;0.8609375;1.546875;0.175
7;SNEV07;3;1;0.25;0.0833333333333333;0.0769230769230769;0.0576923076923077;-2;-0.166666666666667;45;15;30;15;-2.22044604925031e-16;102.941176470588;51.4705882352941;51.4705882352941;2.45935143288084;4.46470588235294;0.453996983408748
8;SNEV08;0;8;0;0.571428571428571;0;0;8;0.571428571428571;14;8;11;3;-1.33226762955019e-15;41.8803418803419;20.9401709401709;20.9401709401709;1.05576923076923;1.5;0.611538461538462
9;SNEV09;3;3;0.157894736842105;0.157894736842105;0.0759493670886076;0.075;0;0;36;2;19;17;-1.77635683940025e-15;47.8904109589041;23.9452054794521;23.9452054794521;1.20546560846561;2.19231746031746;0.500571428571429
10;SNEV10;2;0;0.133333333333333;0;0.0736842105263158;0.0630630630630631;-2;-0.133333333333333;63;23;43;20;-4.44089209850063e-16;68.0589680589681;34.029484029484;34.029484029484;1.12922152922153;2.09561561561562;0.525225225225225
11;SNEV11;1;3;0.1;0.3;0.0196078431372549;0.0133333333333333;2;0.2;25;17;21;4;-2.44249065417534e-15;46.7462686567164;23.3731343283582;23.3731343283582;2.58728878131863;12.6865671641791;0.567433104746538
12;SNEV12;3;3;0.272727272727273;0.272727272727273;0.111111111111111;0.136363636363636;0;0;13;-11;1;12;-8.88178419700125e-16;15.0900900900901;7.54504504504505;7.54504504504505;0.887516087516087;1.24581724581725;0.648648648648649
13;SNEV13;2;1;0.181818181818182;0.0909090909090909;0.0579710144927536;0.0754716981132075;-1;-0.0909090909090909;18;-14;2;16;2.44249065417534e-15;22.3227752639517;11.1613876319759;11.1613876319759;1.08413120995525;1.30673878746901;0.71311858076564
14;SNEV14;0;1;0;0.125;0;0;1;0.125;46;40;43;3;-2.66453525910038e-15;82.6048171275647;41.3024085637823;41.3024085637823;1.41388216303471;2.60310734463277;0.521963276836158
15;SNEV15;0;3;0;0.1875;0;0;3;0.1875;53;41;47;6;1.77635683940025e-15;40.8554572271386;20.4277286135693;20.4277286135693;1.00114752504133;1.61694058154235;0.473324905183312
16;SNEV16;0;2;0;0.181818181818182;0;0;2;0.181818181818182;121;103;112;9;8.88178419700125e-16;98.9814814814815;49.4907407407407;49.4907407407407;1.30903390162649;2.53827160493827;0.325643738977072
17;LADR;1;3;0.032258064516129;0.0967741935483871;0.000689179875947622;0.0010183299389002;2;0.0645161290322581;654;-472;91;563;3.30291349825984e-15;33.9087511458994;16.9543755729497;16.9543755729497;1.44048211482078;2.3937102778977;0.677899584359253
18;CHAZA;3;1;0.130434782608696;0.0434782608695652;0.0109739368998628;0.0229885057471264;-2;-0.0869565217391304;547;-379;84;463;-3.05311331771918e-15;81.355492290597;40.6777461452985;40.6777461452985;1.46604715040626;3.03831386456695;0.548891567145852
19;CHAZB;2;1;0.0833333333333333;0.0416666666666667;0.0216383307573416;0.0211800302571861;-1;-0.0416666666666667;352;24;188;164;-3.33066907387547e-15;54.9099381794311;27.4549690897156;27.4549690897156;1.35586055479162;2.30983325214503;0.640381031776556
20;CHIM;4;5;0.137931034482759;0.172413793103448;0.00527426160337553;0.00793650793650794;1;0.0344827586206897;420;-318;51;369;4.9960036108132e-16;36.547868504772;18.273934252386;18.273934252386;1.12594482377753;1.68273368629459;0.670390299899929
21;SEGUR;3;5;0.115384615384615;0.192307692307692;0.0100697134004648;0.00698924731182796;2;0.0769230769230769;910;570;740;170;-1.88737914186277e-15;56.7490803406296;28.3745401703148;28.3745401703148;1.79489330435045;2.79979994417769;0.538760004566397
22;NCABL;4;0;0.222222222222222;0;0.0189445196211096;0.0243055555555556;-4;-0.222222222222222;315;-149;83;232;-1.22124532708767e-15;50.9602490421456;25.4801245210728;25.4801245210728;1.74109878954614;2.8947874066818;0.587410172410491
23;PALOM;0;1;0;0.0666666666666667;0;0;1;0.0666666666666667;130;-50;40;90;3.33066907387547e-16;45.1998329429282;22.5999164714641;22.5999164714641;0.986607379345676;1.85692281651997;0.638481204475957
24;QUIBJ;0;4;0;0.129032258064516;0;0;4;0.129032258064516;917;-457;230;687;-3.96904731303493e-15;36.1611647354235;18.0805823677118;18.0805823677118;1.44815711335313;2.35837072897548;0.602958755989521
25;RESER;2;5;0.0769230769230769;0.192307692307692;0.00272108843537415;0.00155038759689922;3;0.115384615384615;686;468;577;109;-2.17881268582687e-15;59.7355773326684;29.8677886663342;29.8677886663342;1.24923594093734;2.51687853750899;0.50977775960387
26;RIOMD;1;2;0.0526315789473684;0.105263157894737;0.000825082508250825;0.000533333333333333;1;0.0526315789473684;938;662;800;138;3.94129173741931e-15;49.9368883649303;24.9684441824652;24.9684441824652;0.99228298761847;1.98690031879077;0.540184200721969
27;DNANA;4;0;0.25;0;0.0283505154639175;0.0614525139664804;-4;-0.25;206;-198;4;202;-1.77635683940025e-15;39.6070121363899;19.8035060681949;19.8035060681949;1.18650574284168;1.9595958588277;0.634298517137374
28;CALBL;5;0;0.2;0;0.0254569190600522;0.0484472049689441;-5;-0.2;702;-688;7;695;2.83106871279415e-15;44.741797123637;22.3708985618185;22.3708985618185;1.01613678134282;1.87530584460398;0.553507285740654
